Gene ID,Symbol,Region Start,Region End,# Transcripts,# Variants
ENSG00000002016,RAD52,911735,990053,19,663
ENSG00000003056,M6PR,8940360,8949761,13,44
ENSG00000004478,-,2794969,2805423,-,-
ENSG00000004700,RECQL,21468909,21501669,8,207
ENSG00000005175,RPAP3,47661248,47706030,7,266
ENSG00000006831,ADIPOR2,1688573,1788674,7,737
ENSG00000008323,PLEKHG6,6310435,6328506,9,218
ENSG00000008394,MGST1,16347141,16609259,19,1624
ENSG00000008405,CRY1,106991363,107093549,5,553
ENSG00000010219,DYRK4,4562207,4615302,17,385
ENSG00000010278,CD9,6199714,6238271,12,264
ENSG00000010292,NCAPD2,6493355,6531955,13,268
ENSG00000010295,IFFO1,6538960,6556073,12,104
ENSG00000010379,SLC6A13,220620,262873,12,408
ENSG00000010610,CD4,6786857,6820799,12,363
ENSG00000010626,LRRC23,6873568,6914241,15,246
ENSG00000011105,TSPAN9,3077354,3286564,8,2317
ENSG00000011465,DCN,91140483,91183217,20,208
ENSG00000012504,NR1H4,100473707,100564414,9,572
ENSG00000012822,CALCOCO1,53708516,53727745,22,176
ENSG00000013503,POLR3B,106357747,106510198,4,926
ENSG00000013573,DDX11,31073859,31104799,30,358
ENSG00000013583,HEBP1,12974869,13000265,4,106
ENSG00000013588,GPRC5A,12891558,12917937,5,292
ENSG00000015153,YAF2,42157103,42238349,19,488
ENSG00000017427,IGF1,102395873,102481744,7,67
ENSG00000018236,CNTN1,40692438,41072415,11,2596
ENSG00000022840,RNF10,120533479,120577588,25,280
ENSG00000023697,DERA,15911301,16037381,10,772
ENSG00000023734,STRAP,15882386,15903478,6,115
ENSG00000025423,HSD17B6,56752160,56787790,10,214
ENSG00000028203,VEZT,95217745,95302799,41,548
ENSG00000029153,BMAL2,27332835,27425289,9,649
ENSG00000033030,ZCCHC8,122471599,122500932,10,230
ENSG00000037897,METTL1,57768470,57772119,8,13
ENSG00000037965,-,54008984,54012769,-,0
ENSG00000047617,ANO2,5531868,5946232,12,3199
ENSG00000047621,C12orf4,4487734,4538508,9,297
ENSG00000048540,LMO3,16548371,16610594,35,4
ENSG00000049130,KITLG,88492792,88580851,5,516
ENSG00000050405,LIMA1,50175787,50283520,16,492
ENSG00000050426,LETMD1,51047961,51060424,38,147
ENSG00000050438,SLC4A8,51391316,51515763,18,680
ENSG00000051825,MPHOSPH9,123152319,123244014,24,611
ENSG00000052126,PLEKHA5,19129668,19376400,16,1636
ENSG00000053702,NRIP2,2825347,2835544,3,28
ENSG00000057294,PKP2,32790744,32896798,7,745
ENSG00000057704,TMCC3,94567121,94650557,4,705
ENSG00000058272,PPP1R12A,79773562,79935460,22,717
ENSG00000059758,CDK17,96278260,96400480,12,809
ENSG00000059804,SLC2A3,7919229,8019007,11,238
ENSG00000060138,YBX3,10699088,10723323,18,226
ENSG00000060140,STYK1,10618922,10674318,6,437
ENSG00000060237,WNK1,752578,911452,21,1089
ENSG00000060709,RIMBP2,130396132,130768228,5,1308
ENSG00000060982,BCAT1,24810023,24949101,10,1124
ENSG00000061273,HDAC7,47782721,47833132,30,341
ENSG00000061794,MRPS35,27710821,27756295,5,243
