Transcript ID,Region Start,Region End,# Variants
ENST00000002165,143494811,143511720,196
ENST00000002165,143494811,143511720,196
ENST00000008391,50713525,50773033,446
ENST00000008391,50713525,50773033,446
ENST00000011619,13621497,13711835,670
ENST00000012134,142751468,142945031,1587
ENST00000012134,142751468,142945031,1587
ENST00000028008,166929544,166956584,589
ENST00000028008,166929544,166956584,589
ENST00000052569,117560268,117602528,291
ENST00000052569,117560268,117602528,291
ENST00000053468,42206806,42217861,242
ENST00000053468,42206806,42217861,242
ENST00000082468,26402307,26415204,211
ENST00000082468,26402307,26415204,211
ENST00000159060,155395367,155455839,590
ENST00000159060,155395367,155455839,590
ENST00000167218,170577435,170584645,110
ENST00000167218,170577435,170584645,110
ENST00000182527,52497407,52577060,832
ENST00000182527,52497407,52577060,832
ENST00000185206,45898455,46080348,1595
ENST00000185206,45898455,46080348,1595
ENST00000192788,34792082,34877514,762
ENST00000192788,34792082,34877514,762
ENST00000193322,108041408,108074741,429
ENST00000193322,108041408,108074741,429
ENST00000194672,70426527,70561171,1219
ENST00000194672,70426527,70561171,1219
ENST00000195649,83552884,83709128,1005
ENST00000195649,83552884,83709128,1005
ENST00000206249,151807681,152103274,2441
ENST00000206249,151807681,152103274,2441
ENST00000206262,153004458,153131282,1190
ENST00000206262,153004458,153131282,1190
ENST00000211122,52896645,52909698,192
ENST00000211122,52896645,52909698,192
ENST00000211287,36130512,36144521,129
ENST00000211287,36130512,36144521,129
ENST00000211314,52671112,52686588,319
ENST00000211314,52671112,52686588,319
ENST00000211379,31639027,31652705,221
ENST00000211379,31639027,31652705,221
ENST00000211413,32148362,32151939,102
ENST00000211413,32148362,32151939,102
ENST00000211921,31586847,31588810,140
ENST00000211921,31586847,31588810,140
ENST00000211936,27450742,27473118,280
ENST00000211936,27450742,27473118,280
ENST00000229405,35258981,35295983,383
ENST00000229405,35258981,35295983,383
ENST00000229447,150368891,150404628,604
ENST00000229447,150368891,150404628,604
ENST00000229471,111661281,111759131,742
ENST00000229471,111661281,111759131,742
ENST00000229554,116616478,116632985,191
ENST00000229554,116616478,116632985,191
ENST00000229563,10723069,10731127,212
ENST00000229570,87322592,87342322,315
ENST00000229570,87322592,87342322,315
ENST00000229583,11714377,11778803,716
ENST00000229595,118894151,118909171,158
ENST00000229595,118894151,118909171,158
ENST00000229633,125956769,125980244,357
ENST00000229633,125956769,125980244,357
ENST00000229634,125790964,125929027,905
ENST00000229634,125790964,125929027,905
ENST00000229708,149963942,149973715,247
ENST00000229708,149963942,149973715,247
ENST00000229729,31863191,31878997,192
ENST00000229729,31863191,31878997,192
ENST00000229758,152970534,152983041,203
ENST00000229758,152970534,152983041,203
ENST00000229768,154039494,154093520,432
ENST00000229768,154039494,154093520,432
ENST00000229769,35452337,35467102,267
ENST00000229769,35452337,35467102,267
ENST00000229771,35497873,35512896,239
ENST00000229771,35497873,35512896,239
ENST00000229794,36027807,36111236,639
ENST00000229794,36027807,36111236,639
ENST00000229795,36027807,36111236,648
ENST00000229795,36027807,36111236,648
ENST00000229812,36493891,36547479,577
ENST00000229812,36493891,36547479,577
ENST00000229829,33004181,33009591,233
ENST00000229829,33004181,33009591,233
ENST00000229854,52264013,52284881,265
ENST00000229854,52264013,52284881,265
ENST00000229866,37354014,37391168,280
ENST00000229866,37354014,37391168,280
ENST00000229903,39104062,39115186,110
ENST00000229903,39104062,39115186,110
ENST00000229913,39336153,39431313,906
ENST00000229913,39336153,39431313,906
ENST00000229922,17393594,17557780,1580
ENST00000229955,96794124,96837477,398
ENST00000229955,96794124,96837477,398
ENST00000229971,98873724,98948006,492
ENST00000229971,98873724,98948006,492
ENST00000230036,24425831,24489578,1084
ENST00000230048,24667076,24705046,414
ENST00000230050,132814568,132817564,154
ENST00000230050,132814568,132817564,154
ENST00000230053,70856678,70957060,933
ENST00000230053,70856678,70957060,933
ENST00000230056,24774936,24786099,161
ENST00000230085,108211221,108261040,483
ENST00000230085,108211221,108261040,483
ENST00000230122,109462593,109483219,205
ENST00000230122,109462593,109483219,205
ENST00000230124,109691295,109825426,988
ENST00000230124,109691295,109825426,988
ENST00000230173,142301853,142446266,1116
ENST00000230173,142301853,142446266,1116
ENST00000230256,167291314,167316014,580
ENST00000230256,167291314,167316014,580
ENST00000230301,165279663,165309605,353
ENST00000230301,165279663,165309605,353
ENST00000230321,41638467,41654244,275
ENST00000230321,41638467,41654244,275
ENST00000230323,41683977,41735060,548
ENST00000230323,41683977,41735060,548
ENST00000230340,41921498,41933046,146
ENST00000230340,41921498,41933046,146
ENST00000230354,170554378,170572870,227
ENST00000230354,170554378,170572870,227
ENST00000230361,42183283,42194956,287
ENST00000230361,42183283,42194956,287
ENST00000230381,42696597,42722597,373
ENST00000230381,42696597,42722597,373
ENST00000230402,42984599,43012340,374
ENST00000230402,42984599,43012340,374
ENST00000230413,43054231,43059394,92
ENST00000230413,43054231,43059394,92
ENST00000230418,43076341,43161712,903
ENST00000230418,43076341,43161712,903
ENST00000230419,43076313,43161715,903
ENST00000230419,43076313,43161715,903
ENST00000230431,43225628,43229481,126
ENST00000230431,43225628,43229481,126
ENST00000230449,485153,693139,2491
ENST00000230461,75252923,75284792,272
ENST00000230461,75252923,75284792,272
ENST00000230480,43771991,43784935,167
ENST00000230480,43771991,43784935,167
ENST00000230510,80004146,80042527,401
ENST00000230510,80004146,80042527,401
ENST00000230529,112054074,112069680,124
ENST00000230529,112054074,112069680,124
ENST00000230538,112107930,112254567,1161
ENST00000230538,112107930,112254567,1161
ENST00000230565,46160414,46170971,149
ENST00000230565,46160414,46170971,149
ENST00000230568,6588719,6654982,958
ENST00000230582,27247700,27256620,136
ENST00000230582,27247700,27256620,136
ENST00000230588,46793388,46839778,524
ENST00000230588,46793388,46839778,524
ENST00000237163,83067665,83168471,625
ENST00000237163,83067665,83168471,625
ENST00000237172,75308089,75493800,1243
ENST00000237172,75308089,75493800,1243
ENST00000237177,89829938,89874436,445
ENST00000237177,89829938,89874436,445
ENST00000237186,82892397,83065841,1219
ENST00000237186,82892397,83065841,1219
ENST00000237201,88047840,88066838,175
ENST00000237201,88047840,88066838,175
ENST00000237264,133953223,133990432,415
ENST00000237264,133953223,133990432,415
ENST00000237275,143864473,143938343,651
ENST00000237275,143864473,143938343,651
ENST00000237281,145793501,145814795,186
ENST00000237281,145793501,145814795,186
ENST00000237283,143422831,143450695,264
